2018-06-09 00:21:20.559  INFO 5908 --- [nio-8199-exec-2] k.c.i.hrm.controller.EmployeeController  : 1-------------findAllDepartments-----------------------------Sat Jun 09 00:21:20 KST 2018
2018-06-09 00:21:20.579 DEBUG 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : ==>  Preparing: SELECT NVL(E.DEPARTMENT_ID,0) DEPARTMENT_ID, NVL(D.DEPARTMENT_NAME,'NOTYET') DEPARTMENT_NAME FROM EMPLOYEES E, DEPARTMENTS D WHERE E.DEPARTMENT_ID=D.DEPARTMENT_ID(+) GROUP BY E.DEPARTMENT_ID, D.DEPARTMENT_NAME ORDER BY E.DEPARTMENT_ID 
2018-06-09 00:21:20.579 DEBUG 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : ==> Parameters: 
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==    Columns: DEPARTMENT_ID, DEPARTMENT_NAME
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 10, Administration
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 20, Marketing
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 30, Purchasing
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 40, Human Resources
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 50, Shipping
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 60, IT
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 70, Public Relations
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 80, Sales
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 90, Executive
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 100, Finance
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 110, Accounting
2018-06-09 00:21:20.579 TRACE 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==        Row: 0, NOTYET
2018-06-09 00:21:20.579 DEBUG 5908 --- [nio-8199-exec-2] k.c.i.h.m.HrmMapper.findAllDepartments   : <==      Total: 12
2018-06-09 00:21:23.928  INFO 5908 --- [nio-8199-exec-3] k.c.i.hrm.controller.EmployeeController  : 1-------------findAllDepartments-----------------------------Sat Jun 09 00:21:23 KST 2018
